mysql> select ngram, count(*) as zliczenie from wystapienia.ngrams group by ngram order by zliczenie desc limit 400;
+---------------------------+-----------+
| ngram                     | zliczenie |
| możliwości                |      2783 |
| jeżeli chodzi             |      2779 |
| na sali                   |      2775 |
| systemu                   |      2769 |
| mówi                      |      2765 |
| co do                     |      2754 |
| ruch                      |      2746 |
| powiedzieć że             |      2741 |
| zgodnie z                 |      2730 |
| jeżeli chodzi o           |      2720 |
| rynku                     |      2719 |
| i to                      |      2718 |
| on                        |      2694 |
| czym                      |      2669 |
| jaki                      |      2666 |
| taka                      |      2664 |
| została                   |      2659 |
| życie                     |      2657 |
| 2011 r                    |      2655 |
| możliwość                 |      2654 |
| godz                      |      2651 |
| my                        |      2645 |
| wszyscy                   |      2642 |
| latach                    |      2641 |
| głosowania                |      2638 |
| rzeczypospolitej          |      2630 |
| dyskusji                  |      2602 |
| sprawa                    |      2600 |
| ile                       |      2598 |
| stanu                     |      2597 |
| przykład                  |      2591 |
| 6                         |      2591 |
| mln zł                    |      2588 |
| ma pan poseł              |      2588 |
| ludzi                     |      2585 |
| szczególnie               |      2579 |
| gospodarki                |      2561 |
| w roku                    |      2558 |
| głos ma pan               |      2554 |
| lata                      |      2549 |
+---------------------------+-----------+
400 rows in set (20 min 22.92 sec)

mysql> 

